Sample_ref,Fec_s_weight,Fecundity_by,FishLength,FishWeight,FultonK,GSI,Ooc_no,OocyteDensity,OvaryWeight,PotentialFecundity,RelativeFecundity,max_dia,mean_dia,min_dia,n_dia,p5_dia,p50_dia,p95_dia,sd_dia,Age,CalendarDay,Campaign,Country,HaulID,Maturity Walsh,Maturity WKMATCH 2012 revised,Notes,SamplingApproach,Ship,StartLatitude,StartLongitude,SurveyPeriod,Fecundity_H,Oocyte_stage_H,Fecundity_W,Sample_letter,Latitude_rounded
K007,52,MI,38.3,420.6,0.74863986,10.34236805,632,12153.84615,43.5,528692.3077,1256.995501,607,412.7909,220,330,278,393.5,583,96.88031,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,4,yes,K,47
K013,52,MI,39,418.8,0.70601325,10.69723018,674,12961.53846,44.8,580676.9231,1386.525604,616,405.8499,222,393,276,397,573,94.99528,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K031,52,MI,38.6,408,0.70941154,9.166666667,687,13211.53846,37.4,494111.5385,1211.057692,610,407.1229,178,350,278,396,570,92.57788,7,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,4,yes,K,47
K037,52,MI,39.2,452.8,0.751706347,8.723498233,670,12884.61538,39.5,508942.3077,1123.989195,614,416.8522,212,467,282,411,577,92.50914,9,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K067,52,MI,38,375,0.68340866,7.466666667,734,14115.38462,28,395230.7692,1053.948718,642,413.7714,169,490,282,405,572,90.42355,8,77,MEGS_1,ES,2,3,,,R,29RM,47.3435,-6.122,3,yes,3,yes,K,47
K085,52,MI,35.2,294,0.674092259,9.795918367,732,14076.92308,28.8,405415.3846,1378.963893,599,409.7735,217,340,268,406,569,92.67222,6,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,4,yes,K,47
K091,52,MI,32,188.1,0.574035645,5.635300372,1475,28365.38462,10.6,300673.0769,1598.474625,620,373.1472,225,1080,262,360,546.5,84.64884,3,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,4,yes,K,47
K151,52,MI,38.3,412.6,0.734400395,6.931652933,927,17826.92308,28.6,509850,1235.700436,616,399.6107,247,578,263,385,567,92.87564,7,85,MEGS_1,ES,4,3,,,R,29RM,48.6767,-9.5757,3,no,4,yes,K,49
M145,26,MI,39.1,446,0.746112965,7.713004484,378,14538.46154,34.4,500123.0769,1121.35219,602,388.0765,253,170,289,380.5,540,74.6994,7,100,Pelacus0322,ES,Pelacus0322-0010,5,Cb,,R,29MO,43.35,-8.74,4,yes,4,yes,M,43
M151,26,MI,39.2,422,0.700574378,7.014218009,350,13461.53846,29.6,398461.5385,944.2216551,611,409.9032,212,155,306,400,565,79.64685,6,100,Pelacus0322,ES,Pelacus0322-0010,5,Cb,,R,29MO,43.35,-8.74,4,yes,4,yes,M,43
M295,26,MI,38,380,0.692520776,5.631578947,369,14192.30769,21.4,303715.3846,799.2510121,595,429.7763,193,219,305,426,568,80.79701,6,117,Pelacus0322,ES,Pelacus0322-0020,5,Cb,,R,29MO,43.43,-4.69,4,yes,4,yes,M,43
O001,52,MI,27.4,130,0.631963017,1.453846154,506,9730.769231,1.89,18391.15385,141.4704142,304,275,254,5,254,278,304,21.40093,,28,29VE_2022,PT,3,,,,R,29VE,36.915,-7.196666667,2,no,2,yes,O,37
O007,52,MI,27.6,136,0.646862034,3.058823529,538,10346.15385,4.16,43040,316.4705882,488,397.5,182,224,266,416,471,61.38469,,28,29VE_2022,PT,3,,,,R,29VE,36.915,-7.196666667,2,yes,3,yes,O,37
O013,52,MI,29.5,194,0.755676092,3.37628866,699,13442.30769,6.55,88047.11538,453.8511102,505,430.9077,261,390,347,440.5,491,48.37973,,28,29VE_2022,PT,3,,,,R,29VE,36.915,-7.196666667,2,yes,3,yes,O,37
O031,52,MI,27.6,158,0.751501481,7.962025316,299,5750,12.58,72335,457.8164557,608,437.2452,202,155,314,419,587,85.82619,,43,29VE_2022,PT,21,,,,R,29VE,41.63166667,-8.975,2,no,5,yes,O,42
V007,26,MI,35.6,305,0.676004902,6.885245902,396,15230.76923,21,319846.1538,1048.675914,604,426.84,269,225,292,427,581,96.21331,6,87,Blue whiting survey,NL,2022NL5400008,2,Ba,,R,64T2,55.36666667,-9.75,3,yes,4,yes,V,55
X001,26,MI,40,480,0.75,2.833333333,753,28961.53846,13.6,393876.9231,820.5769231,459,344.6186,254,590,276,336,440,50.27786,11,31,PFA sampling,NL,2022032_2,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.6,-5.25,2,yes,3,yes,X,60
X007,26,MI,39.1,430,0.71934658,3.511627907,531,20423.07692,15.1,308388.4615,717.1824687,547,372.3662,230,456,278,361,509,69.59177,8,33,PFA sampling,NL,2022032_4,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.53333333,-5.766666667,2,yes,3,yes,X,60
X013,26,MI,41,600,0.870561948,3.433333333,651,25038.46154,20.6,515792.3077,859.6538462,536,379.49,231,598,264,368,514,76.57894,11,37,PFA sampling,NL,2022032_8,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.21666667,-6.383333333,2,yes,3,yes,X,59
X019,26,MI,40.2,460,0.708075671,4.130434783,647,24884.61538,19,472807.6923,1027.842809,544,395.6035,187,459,290,388,517,73.18941,10,41,PFA sampling,NL,2022032_12,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.36666667,-8.166666667,2,yes,4,yes,X,58
X025,26,MI,39.2,500,0.830064429,3.06,727,27961.53846,15.3,427811.5385,855.6230769,510,373.2224,241,634,280,370,474,62.24852,11,41,PFA sampling,NL,2022032_13,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.38333333,-8.216666667,2,yes,4,yes,X,58
X031,26,MI,39.1,460,0.769533551,3.717391304,684,26307.69231,17.1,449861.5385,977.9598662,482,391.5951,251,536,284,394,470,58.82318,5,44,PFA sampling,NL,2022032_17,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.01666667,-9,2,yes,4,yes,X,58
X037,26,MI,40.8,550,0.809808256,5.727272727,426,16384.61538,31.5,516115.3846,938.3916084,600,412.0451,205,377,276,407,572,89.87424,5,44,PFA sampling,NL,2022032_18,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.78333333,-9.366666667,2,yes,3,yes,X,58
X043,26,MI,36.7,360,0.728289935,4.305555556,464,17846.15385,15.5,276615.3846,768.3760684,559,396.6136,237,427,275,393,530,79.15738,7,45,PFA sampling,NL,2022032_20,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.06666667,-9.183333333,2,yes,3,yes,X,57
X049,26,MI,41.7,540,0.744707272,4.055555556,666,25615.38462,21.9,560976.9231,1038.846154,528,414.1759,192,557,296,420,513,69.84694,8,45,PFA sampling,NL,2022032_21,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.03333333,-9.166666667,2,yes,4,yes,X,57
X055,26,MI,35.8,328,0.714866201,5.792682927,521,20038.46154,19,380730.7692,1160.76454,606,416.8841,251,345,272,416,564,89.68529,4,62,PFA sampling,NL,2022033_03,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.41666667,2,yes,4,yes,X,55
X061,26,MI,38.2,383,0.68708218,5.221932115,457,17576.92308,20,351538.4615,917.854991,601,386.4971,251,344,269,379,554,90.05751,7,62,PFA sampling,NL,2022033_03,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.41666667,2,yes,4,yes,X,55
X067,26,MI,40.5,467,0.702994312,7.280513919,392,15076.92308,34,512615.3846,1097.677483,605,445.408,196,250,321,446.5,567,75.04618,5,63,PFA sampling,NL,2022033_04,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.36666667,2,yes,3,yes,X,55
X073,26,MI,37.8,405,0.749859027,4.444444444,503,19346.15385,18,348230.7692,859.8290598,587,405.2037,251,432,277,403.5,563,86.20641,11,63,PFA sampling,NL,2022033_04,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.36666667,2,yes,3,yes,X,55
X085,26,MI,34.8,317,0.752179565,5.047318612,524,20153.84615,16,322461.5385,1017.228828,560,415.9283,250,446,283,430.5,528,79.64133,3,63,PFA sampling,NL,2022033_05,3,Bb,Ovary weigth taken on board,R,74YB,54.63333333,-10.4,2,yes,4,yes,X,55
X091,26,MI,37.2,384,0.745937438,5.989583333,419,16115.38462,23,370653.8462,965.244391,620,422.087,250,322,281,422.5,566,92.4474,4,64,PFA sampling,NL,2022033_06,3,Bb,Ovary weigth taken on board,R,74YB,54.66666667,-10.4,2,yes,4,yes,X,55
X097,26,MI,35,323,0.75335277,6.811145511,351,13500,22,297000,919.504644,609,457.4904,296,157,317,451,585,77.92622,3,64,PFA sampling,NL,2022033_07,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.4,2,yes,3,yes,X,55
X103,26,MI,39.5,446,0.723675003,4.932735426,525,20192.30769,22,444230.7692,996.0331149,587,450.4783,303,345,354,454,549,59.68517,6,64,PFA sampling,NL,2022033_07,3,Bb,Ovary weigth taken on board,R,74YB,54.65,-10.4,2,yes,4,yes,X,55
X109,26,MI,37,346,0.683078988,5.49132948,503,19346.15385,19,367576.9231,1062.361049,597,437.9371,211,286,316,432.5,569,74.16049,5,65,PFA sampling,NL,2022033_08,3,Bb,Ovary weigth taken on board,R,74YB,54.66666667,-10.36666667,3,yes,4,yes,X,55
X121,26,MI,36.7,318,0.643322776,6.603773585,421,16192.30769,21,340038.4615,1069.303338,595,420.7053,253,285,290,417,571,85.89232,7,65,PFA sampling,NL,2022033_10,3,Bb,Ovary weigth taken on board,R,74YB,54.36666667,-10.58333333,3,yes,4,yes,X,54
X127,26,MI,37.1,416,0.814651013,6.25,446,17153.84615,26,446000,1072.115385,599,426.7831,256,295,299,423,569,82.46046,6,66,PFA sampling,NL,2022033_11,3,Bb,Ovary weigth taken on board,R,74YB,54.5,-10.56666667,3,yes,4,yes,X,55
X133,26,MI,34.1,304,0.76667349,6.25,422,16230.76923,19,308384.6154,1014.423077,601,423.1243,277,362,306,419,566,81.04548,6,66,PFA sampling,NL,2022033_11,3,Bb,Ovary weigth taken on board,R,74YB,54.5,-10.56666667,3,yes,3,yes,X,55
X145,26,MI,35.6,349,0.773526921,5.157593123,482,18538.46154,18,333692.3077,956.1384175,612,415.264,253,375,282,413,565,88.34347,6,68,PFA sampling,NL,2022033_14,3,Bb,Ovary weigth taken on board,R,74YB,54.35,-10.66666667,3,yes,3,yes,X,54
X151,26,MI,38.5,430,0.753505223,5.581395349,542,20846.15385,24,500307.6923,1163.506261,603,407.7863,252,393,282,399,560,83.19945,6,68,PFA sampling,NL,2022033_14,3,Bb,Ovary weigth taken on board,R,74YB,54.35,-10.66666667,3,yes,4,yes,X,54
X163,26,MI,36.7,387,0.78291168,7.235142119,380,14615.38462,28,409230.7692,1057.443848,604,419.8864,261,317,295,413,578,88.64411,5,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,3,yes,X,54
X169,26,MI,39.7,457,0.730372949,5.90809628,444,17076.92308,27,461076.9231,1008.921057,594,445.4295,278,305,326,453,563,70.39837,10,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,4,yes,X,54
X175,26,MI,38.6,502,0.872854395,7.370517928,464,17846.15385,37,660307.6923,1315.353969,598,418.4777,228,358,279,420,565,90.22039,9,68,PFA sampling,NL,2022033_15,3,Bb,Ovary weigth taken on board,R,74YB,54.03333333,-10.83333333,3,yes,4,yes,X,54
X181,26,MI,40.5,458,0.689446241,5.458515284,489,18807.69231,25,470192.3077,1026.620759,589,413.361,253,410,289,409,547,79.32087,10,68,PFA sampling,NL,2022033_16,3,Bb,Ovary weigth taken on board,R,74YB,54.15,-10.75,3,yes,4,yes,X,54
X187,26,MI,35.9,335,0.724038169,7.76119403,389,14961.53846,26,389000,1161.19403,591,422.2811,263,281,298,422,564,82.20799,6,68,PFA sampling,NL,2022033_16,3,Bb,Ovary weigth taken on board,R,74YB,54.15,-10.75,3,yes,3,yes,X,54
X193,26,MI,40.5,473,0.712026359,6.342494715,449,17269.23077,30,518076.9231,1095.300049,615,433.7843,256,408,296,428,581,89.45194,9,68,PFA sampling,NL,2022033_17,3,Bb,Ovary weigth taken on board,R,74YB,53.98333333,-10.86666667,3,yes,3,yes,X,54
X211,26,MI,39.7,444,0.709596476,8.783783784,383,14730.76923,39,574500,1293.918919,617,410,263,241,294,407,548,81.52019,7,70,PFA sampling,NL,2022033_19,3,Bb,Ovary weigth taken on board,R,74YB,54.01666667,-11,3,yes,4,yes,X,54
X217,26,MI,35.6,358,0.793474607,9.217877095,313,12038.46154,33,397269.2308,1109.690589,616,404.4493,251,227,272,378,585,103.8929,5,70,PFA sampling,NL,2022033_19,3,Bb,Ovary weigth taken on board,R,74YB,54.01666667,-11,3,yes,3,yes,X,54
X223,26,MI,33.7,288,0.752493556,6.597222222,418,16076.92308,19,305461.5385,1060.630342,618,408.7485,208,326,269,394.5,593,102.762,4,70,PFA sampling,NL,2022033_20,3,Bb,Ovary weigth taken on board,R,74YB,53.81666667,-11,3,yes,3,yes,X,54
X229,26,MI,37.2,338,0.656580349,7.100591716,349,13423.07692,24,322153.8462,953.117888,596,421.2074,276,188,295,420,567,83.79338,4,70,PFA sampling,NL,2022033_20,3,Bb,Ovary weigth taken on board,R,74YB,53.81666667,-11,3,yes,4,yes,X,54
X241,26,MI,39,429,0.723208416,8.857808858,381,14653.84615,38,556846.1538,1298.009683,599,396.9277,214,235,273,382,574,96.38978,7,70,PFA sampling,NL,2022033_21,3,Bb,Ovary weigth taken on board,R,74YB,53.75,-11.05,3,yes,4,yes,X,54
X247,26,MI,36.2,348,0.733590219,5.747126437,471,18115.38462,20,362307.6923,1041.114058,595,407.5039,221,381,299,402,533,71.67238,7,70,PFA sampling,NL,2022033_21,3,Bb,Ovary weigth taken on board,R,74YB,53.75,-11.05,3,yes,3,yes,X,54
X253,26,MI,38.8,381,0.652273596,9.448818898,305,11730.76923,36,422307.6923,1108.41914,594,435.8476,266,105,323,440,570,80.31211,11,71,PFA sampling,NL,2022033_22,3,Bb,Ovary weigth taken on board,R,74YB,53.88333333,-10.86666667,3,yes,4,yes,X,54
X271,26,MI,41.6,491,0.682026894,7.739307536,419,16115.38462,38,612384.6154,1247.219176,592,400.5694,193,216,291,393.5,567,86.32036,9,72,PFA sampling,NL,2022033_25,3,Bb,Ovary weigth taken on board,R,74YB,54.1,-10.73333333,3,yes,4,yes,X,54
X277,26,MI,38.4,404,0.713489674,8.910891089,283,10884.61538,36,391846.1538,969.9162224,595,416.044,258,182,305,404,567,85.81973,10,72,PFA sampling,NL,2022033_25,3,Bb,Ovary weigth taken on board,R,74YB,54.1,-10.73333333,3,yes,3,yes,X,54
X283,26,MI,40.4,480,0.727942611,9.791666667,295,11346.15385,47,533269.2308,1110.977564,618,398.7799,265,209,292,376,580,90.93806,9,72,PFA sampling,NL,2022033_25,3,Bb,Ovary weigth taken on board,R,74YB,54.1,-10.73333333,3,yes,3,yes,X,54
X289,26,MI,36.1,328,0.697191748,7.317073171,351,13500,24,324000,987.804878,617,400.3122,250,237,267,390,566,92.19822,7,72,PFA sampling,NL,2022033_26,3,Bb,Ovary weigth taken on board,R,74YB,53.91666667,-10.9,3,yes,3,yes,X,54
X295,26,MI,41,489,0.709507987,6.54396728,520,20000,32,640000,1308.793456,600,413.3888,252,409,295,412,552,79.28772,9,72,PFA sampling,NL,2022033_26,3,Bb,Ovary weigth taken on board,R,74YB,53.91666667,-10.9,3,yes,4,yes,X,54
X301,26,MI,39,420,0.708036211,6.428571429,446,17153.84615,27,463153.8462,1102.747253,600,427.6261,257,329,295,431,573,85.52875,7,72,PFA sampling,NL,2022033_27,3,Bb,Ovary weigth taken on board,R,74YB,53.76666667,-10.95,3,yes,4,yes,X,54
X307,26,MI,39.1,437,0.731056874,5.491990847,508,19538.46154,24,468923.0769,1073.050519,587,400.9247,255,478,285,392.5,560,84.2739,12,72,PFA sampling,NL,2022033_28,3,Bb,Ovary weigth taken on board,R,74YB,53.73333333,-10.98333333,3,yes,3,yes,X,54
X313,26,MI,36.4,369,0.76510707,7.859078591,333,12807.69231,29,371423.0769,1006.566604,632,397.5354,247,226,275,393.5,572,98.90607,7,73,PFA sampling,NL,2022033_29,3,Bb,Ovary weigth taken on board,R,74YB,53.63333333,-11.05,3,yes,3,yes,X,54
X319,26,MI,33.7,282,0.736816607,9.219858156,383,14730.76923,26,383000,1358.156028,595,403.309,221,233,282,391,567,90.3037,3,73,PFA sampling,NL,2022033_29,3,Bb,Ovary weigth taken on board,R,74YB,53.63333333,-11.05,3,yes,3,yes,X,54
X331,26,MI,38.2,385,0.690670077,5.974025974,523,20115.38462,23,462653.8462,1201.698302,589,420.0299,257,401,296,423,549,80.17692,9,74,PFA sampling,NL,2022033_31,3,Bb,Ovary weigth taken on board,R,74YB,53.6,-11.03333333,3,yes,4,yes,X,54
X337,26,MI,42,559,0.754508152,5.545617174,547,21038.46154,31,652192.3077,1166.712536,602,452.5487,216,339,341,456,557,63.25668,10,74,PFA sampling,NL,2022033_31,3,Bb,Ovary weigth taken on board,R,74YB,53.6,-11.03333333,3,yes,4,yes,X,54
X343,26,MI,38.4,363,0.641081068,5.23415978,500,19230.76923,19,365384.6154,1006.569188,603,398.4502,251,462,279,387.5,555,87.31619,7,74,PFA sampling,NL,2022033_32,3,Bb,Ovary weigth taken on board,R,74YB,53.65,-11.06666667,3,yes,3,yes,X,54
X517,26,MI,38.5,413,0.723715482,5.811138015,416,16000,24,384000,929.7820823,601,437.8277,254,238,303,434.5,574,82.30513,10,75,PFA sampling,NL,2022033_36,3,Bb,Ovary weigth taken on board,R,74YB,53.68333333,-11.08333333,3,yes,3,yes,X,54
X523,26,MI,38.1,370,0.669001046,6.756756757,567,21807.69231,25,545192.3077,1473.492723,595,387.2605,243,522,273,377,524,79.57216,7,75,PFA sampling,NL,2022033_36,3,Bb,Ovary weigth taken on board,R,74YB,53.68333333,-11.08333333,3,yes,3,yes,X,54
A004,26,WMR,39,439,0.740066421,7.380410023,418,16076.92308,32.4,520892.3077,1186.542842,692,473.2297,5,296,294,471.5,639,106.2999,,73,45CE_2022,IE,3,3,,,R,45CE,52.2513,-11.35,3,yes,3,yes,A,52
A010,26,WMR,37,363,0.716640673,4.573002755,379,14576.92308,16.6,241976.9231,666.6030939,668,445.6113,253,247,293,434,598,93.07648,,73,45CE_2022,IE,3,3,,,R,45CE,52.2513,-11.35,3,yes,3,yes,A,52
A016,26,WMR,36,336,0.720164609,7.976190476,288,11076.92308,26.8,296861.5385,883.5164835,815,579.4909,244,110,381,578,769,138.3486,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
A022,26,WMR,32,226,0.689697266,7.212389381,331,12730.76923,16.3,207511.5385,918.1926481,829,486.0496,254,242,281,435.5,783,162.6854,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
A034,26,WMR,34,307,0.781090983,7.882736156,367,14115.38462,24.2,341592.3077,1112.678527,837,496.1779,271,281,311,454,728,146.8815,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
A040,26,WMR,34,304,0.773458172,8.651315789,340,13076.92308,26.3,343923.0769,1131.325911,829,514.9915,5,235,290,515,740,156.6483,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,4,yes,A,51
A052,26,WMR,36,354,0.758744856,5.790960452,523,20115.38462,20.5,412365.3846,1164.873968,704,453.3562,250,365,272,454,648,115.3871,,75,45CE_2022,IE,4,3,,,R,45CE,51.2518,-10.3959,3,yes,3,yes,A,51
C178,26,WMR,37.4,440.5,0.842036866,7.786606129,439,16884.61538,34.3,579142.3077,1314.738496,733,518.0333,268,180,322.5,522.5,690,110.983,9,112,0222H,GB-SCT,AE22007,3,,,,746A,60.1299,-4.1096,4,yes,4,yes,C,60
C226,26,WMR,40.5,508.3,0.765164901,4.898681881,781,30038.46154,24.9,747957.6923,1471.488673,596,419.4934,185,304,186,445,551,106.7405,12,114,0222H,GB-SCT,AE22009,3,,,,746A,61.0227,-1.5015,4,yes,3,yes,C,61
G046,26,WMR,37.1,364,0.712819636,3.489010989,841,32346.15385,12.7,410796.1538,1128.560862,735,396.8146,250,205,276,384,676,96.7925,11,99,WH455,DE,161,5,Cb,,R,Walther Herwig III,49.46,-10.28,3,yes,4,yes,G,49
G052,26,WMR,37.9,395,0.725570247,4,662,25461.53846,15.8,402292.3077,1018.461538,798,361.3498,186,203,186,307,740,182.8598,11,104,WH455,DE,196,5,Cb,Genetics,R,Walther Herwig III,51.12,-10.2,4,yes,3,yes,G,51
G118,26,WMR,34.8,293,0.695232216,5.153583618,559,21500,15.1,324650,1108.020478,755,415.5232,136,302,273,387,717,121.7416,5,105,WH455,DE,206,4,3a,,R,Walther Herwig III,52.2,-11.34,4,yes,4,yes,G,52
I016,26,WMR,39.3,393,0.647462917,2.569974555,880,33846.15385,10.1,341846.1538,869.8375416,406,338.9034,252,238,268,341,395,40.86351,,136,64T2_WGMEGS,NL,2022NL5400603,5,Cb,C10,R,64T2,47.73333333,-7.4,5,yes,3,yes,I,48
I076,26,WMR,37.8,397,0.735046996,1.309823678,68,2615.384615,5.2,13600,34.25692695,705,410.0714,278,42,287,390.5,553,92.6763,,159,64T2_WGMEGS,NL,2022NL5400607,6,D,,R,64T2,51.8,-11.25,6,yes,4,yes,I,52
K004,52,WMR,40.4,464,0.703677857,10.28017241,558,10730.76923,47.7,511857.6923,1103.141578,1063,538.2436,252,431,289,532,761,167.8627,13,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,4,no,K,47
K016,52,WMR,40.2,462.6,0.712077838,5.166450497,1168,22461.53846,23.9,536830.7692,1160.464266,807,434.1505,251,731,275,436,559,93.18467,8,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K022,52,WMR,37.6,394.6,0.742324076,8.109477952,814,15653.84615,32,500923.0769,1269.445203,837,499.9171,250,615,287,486,727,138.6979,6,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K028,52,WMR,38.8,452.8,0.775195497,7.994699647,798,15346.15385,36.2,555530.7692,1226.878907,804,489.6745,250,593,287,467,744,147.0908,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K052,52,WMR,38.3,390.8,0.695597853,9.979529171,749,14403.84615,39,561750,1437.436029,860,481.4962,252,532,269,453,748,160.5346,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K058,52,WMR,38.8,401.2,0.686856081,9.870388833,661,12711.53846,39.6,503376.9231,1254.678273,816,538.5433,268,427,330,544,715,125.5679,10,74,MEGS_1,ES,1,3,,,R,29RM,46.75,-4.89,3,yes,3,yes,K,47
K064,52,WMR,36.2,332.2,0.700283537,12.31186033,444,8538.461538,40.9,349223.0769,1051.243459,1424,550.1854,241,329,291,511,914,189.5482,4,74,MEGS_1,ES,1,4,,,D,29RM,46.75,-4.89,3,no,5,no,K,47
K070,52,WMR,36.4,351.2,0.728199466,9.083143508,682,13115.38462,31.9,418380.7692,1191.289206,758,524.6178,256,484,294,513.5,729,146.2707,5,77,MEGS_1,ES,2,3,,,R,29RM,47.3435,-6.122,3,yes,4,yes,K,47
K082,52,WMR,36.2,347,0.731482201,10.89337176,688,13230.76923,37.8,500123.0769,1441.276879,737,491.3625,252,400,322,446,681.5,134.2233,5,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,4,yes,K,47
K088,52,WMR,33.8,269.4,0.697665891,6.867112101,962,18500,18.5,342250,1270.415739,729,457.5086,255,700,287.5,455,656.5,114.9109,4,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,3,yes,K,47
K094,52,WMR,35.4,297,0.66949396,6.430976431,883,16980.76923,19.1,324332.6923,1092.029267,745,477.4707,255,546,307,451.5,675,121.5246,4,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,yes,4,yes,K,47
K106,52,WMR,32.7,216.4,0.61889076,7.3012939,867,16673.07692,15.8,263434.6154,1217.350348,837,493.1604,209,480,285.5,455,748.5,156.1348,3,82,MEGS_1,ES,3,3,,,R,29RM,46.92,-7.12,3,no,4,yes,K,47
K112,52,WMR,34.3,270,0.66908517,11.37037037,295,5673.076923,30.7,174163.4615,645.0498575,818,554.2174,274,184,308,590,790,176.6481,5,82,MEGS_1,ES,3,4,,,R,29RM,46.92,-7.12,3,yes,4,yes,K,47
M112,26,WMR,35.5,321,0.717496808,5.140186916,608,23384.61538,16.5,385846.1538,1202.01294,793,409.005,251,404,271,407,642,103.9794,8,89,Careva0322,ES,Careva0322-0006,4,Ca,OvaryWeight calculated from fixed ovary weight as OvaryWeight = 0.32502 + 0.97323 x fixed_ovary_weight.,R,29VE,43.47,-4.72,3,yes,4,yes,M,43
X004,26,WMR,39.1,460,0.769533551,3.543478261,831,31961.53846,16.3,520973.0769,1132.550167,519,272.318,185,827,185,185,465,111.9025,7,31,PFA sampling,NL,2022032_2,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.6,-5.25,2,yes,4,yes,X,60
X016,26,WMR,41.6,590,0.819543518,2.576271186,1202,46230.76923,15.2,702707.6923,1191.029987,537,372.2667,186,30,258,378.5,420,55.763,9,38,PFA sampling,NL,2022032_11,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,59.2,-6.466666667,2,yes,3,yes,X,59
X022,26,WMR,38.4,450,0.794728597,3.111111111,821,31576.92308,14,442076.9231,982.3931624,520,377.2885,250,513,271,373,484,68.48759,4,41,PFA sampling,NL,2022032_13,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.38333333,-8.216666667,2,yes,4,yes,X,58
X028,26,WMR,39.2,460,0.763659275,4.108695652,607,23346.15385,18.9,441242.3077,959.222408,639,432.9406,251,404,272,438,595,101.0274,9,42,PFA sampling,NL,2022032_14,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,58.18333333,-8.85,2,yes,3,yes,X,58
X052,26,WMR,35.5,310,0.69290969,3.322580645,739,28423.07692,10.3,292757.6923,944.3796526,530,405.1066,250,441,271,417,513,77.24224,4,45,PFA sampling,NL,2022032_21,3,Bb,"Ovary weight taken on board, in the lab more precise weight after freezing and pipette sample was already taken from the fresh ovary",R,74YB,57.03333333,-9.166666667,2,yes,3,yes,X,57
